id,sepal_length,sepal_width,petal_length,petal_width,CLASS_LABEL,ExampleID
1,6.1,2.9,4.7,1.4,versicolor,x4
2,6,2.7,5.1,1.6,versicolor,x5
3,5.4,3,4.5,1.5,versicolor,x6
4,5.6,2.5,3.9,1.1,versicolor,x7
5,4.9,3.1,1.5,0.1,setosa,x8
6,6.3,3.3,6,2.5,setosa,x9
7,6.9,3.1,5.4,2.1,virginica,x18
8,4.9,2.5,4.5,1.7,virginica,x26
9,6.4,3.2,5.3,2.3,virginica,x28
10,7.4,2.8,6.1,1.9,virginica,x29
11,6.2,2.8,4.8,1.8,setosa,x30
12,7.2,3,5.8,1.6,virginica,x32
13,6.4,3.1,5.5,1.8,virginica,x37
14,7.9,3.8,6.4,2,virginica,x38
15,6.7,3.3,5.7,2.1,virginica,x39
16,6.2,2.9,4.3,1.3,versicolor,x40
17,5.6,2.9,3.6,1.3,versicolor,x41
18,6.3,2.5,4.9,1.5,versicolor,x42
19,6.5,2.8,4.6,1.5,versicolor,x43
20,5.8,2.7,4.1,1,versicolor,x44
21,4.6,3.2,1.4,0.2,virginica,x45
22,6.2,3.4,5.4,2.3,virginica,x46
23,4.8,3.4,1.9,0.2,setosa,x47
24,5.1,3.8,1.9,0.4,setosa,x48
25,6.3,2.3,4.4,1.3,versicolor,x49
26,6,2.2,5,1.5,virginica,x50
27,5,3.2,1.2,0.2,setosa,x51
28,6,3.4,4.5,1.6,versicolor,x52
29,6.6,3,4.4,1.4,versicolor,x53
30,5,3,1.6,0.2,setosa,x54
31,5.6,2.7,4.2,1.3,versicolor,x55
32,5.4,3.4,1.5,0.4,setosa,x56
33,5.5,2.6,4.4,1.2,versicolor,x57
34,4.6,3.4,1.4,0.3,setosa,x58
35,4.5,2.3,1.3,0.3,setosa,x59
36,6.4,3.2,4.5,1.5,virginica,x60
37,5.4,3.9,1.3,0.4,setosa,x61
38,5.1,2.5,3,1.1,versicolor,x62
39,5.9,3,4.2,1.5,versicolor,x63
40,4.8,3.4,1.6,0.2,setosa,x64
41,5,2,3.5,1,versicolor,x65
42,5.6,2.8,4.9,2,virginica,x66
43,4.4,2.9,1.4,0.2,setosa,x67
44,6.4,2.8,5.6,2.1,virginica,x68
45,4.6,3.1,1.5,0.2,setosa,x69
46,6.3,2.5,5,1.9,virginica,x70
47,5.7,2.8,4.5,1.3,versicolor,x71
48,5.8,2.7,5.1,1.9,virginica,x72
49,4.4,3,1.3,0.2,setosa,x73
50,5.2,4.1,1.5,0.1,setosa,x74
51,5,3.4,1.5,0.2,setosa,x75
52,5.1,3.7,1.5,0.4,setosa,x76
53,5,3.5,1.3,0.3,setosa,x77
54,6.4,2.8,5.6,2.2,virginica,x78
55,4.9,3,1.4,0.2,setosa,x79
56,5,3.6,1.4,0.2,setosa,x80
57,5,2.3,3.3,1,versicolor,x81
58,7.7,3.8,6.7,2.2,virginica,x82
59,6,2.9,4.5,1.5,versicolor,x83
60,4.9,3.1,1.5,0.1,setosa,x84
61,5.7,2.6,3.5,1,versicolor,x85
62,4.9,2.4,3.3,1,versicolor,x86
63,5.8,2.8,5.1,2.4,virginica,x87
64,5.5,2.4,3.7,1,versicolor,x88
65,6.7,3.1,5.6,2.4,virginica,x89
66,5.9,3,5.1,1.8,versicolor,x90
67,6.3,3.4,5.6,2.4,virginica,x91
68,6.3,2.7,4.9,1.8,virginica,x92
69,5.5,4.2,1.4,0.2,setosa,x93
70,6.8,3,5.5,2.1,virginica,x94
71,5.8,2.6,4,1.2,versicolor,x95
72,4.7,3.2,1.3,0.2,setosa,x96
73,6.7,3,5.2,2.3,virginica,x97
74,5.1,3.8,1.5,0.3,setosa,x98
75,4.8,3,1.4,0.3,setosa,x99